benchmark,sigma,lr,l2_mean,l2_std,l1_mean,l1_std,n_trials
diffusion_reaction,1.0,0.001,0.6950029072832127,0.3792541965111453,0.3205752602572887,0.17654073107605728,5.0
diffusion_reaction,1.0,0.01,0.7192690568847597,0.3902060522664978,0.3331290225293696,0.18140491457626337,5.0
diffusion_reaction,5.0,0.001,1.0006777485337668,0.00048564630477156915,0.45373705354797317,0.0004072552523301951,5.0
diffusion_reaction,5.0,0.01,1.0007239278416769,0.0006131592486031759,0.4537792096698804,0.00043634263754200225,5.0
diffusion_reaction,10.0,0.001,1.000765038764235,0.0008070473711892458,0.45369686520703834,0.0003953742301790795,5.0
diffusion_reaction,10.0,0.01,1.000642145951349,0.0006804963543014217,0.4536371346675307,0.00036336066075334203,5.0
helmholtz2d,1.0,0.001,1.155995125366536,0.21735787420536226,0.47111116470072006,0.09068895788300352,5.0
helmholtz2d,1.0,0.01,1.1262038150674478,0.29277469242798704,0.45632360733397687,0.11928022651270724,10.0
helmholtz2d,5.0,0.001,0.999627243482648,0.000985412540376551,0.39740668651737354,0.0001634030299304564,5.0
helmholtz2d,5.0,0.01,0.9773489479643193,0.07119927726470501,0.39142772881980226,0.018789873620576582,10.0
helmholtz2d,10.0,0.001,1.0001077895677764,0.0001010091354097649,0.3974210452684927,0.00018218377332458608,5.0
helmholtz2d,10.0,0.01,1.0000750686581097,8.53744827569142e-05,0.39737802188332516,0.0001406659308305441,10.0
kovasznay,1.0,0.001,0.4191738276192768,0.22930026017122068,0.4123681303813411,0.22434237280093347,5.0
kovasznay,1.0,0.01,0.3974303922293297,0.21725485562542873,0.3858281908205104,0.214267836275164,5.0
kovasznay,5.0,0.001,0.6491463751435106,0.020387212460711953,0.6318095064063158,0.019615710128625324,5.0
kovasznay,5.0,0.01,0.6491678466872404,0.020364005900540216,0.6318187015332735,0.01958209599903133,5.0
kovasznay,10.0,0.001,0.6503702601925064,0.01923723190404245,0.6326217679136695,0.01883766079969501,5.0
kovasznay,10.0,0.01,0.6503524837818481,0.01921521477021716,0.6326037327613271,0.018815099882375848,5.0
