benchmark,nh,nn,sigma,l2_mean,l2_std,n_trials
helmholtz2d,2,10,1.0,1.1262038150674478,0.29277469242798704,10
helmholtz2d,2,10,5.0,0.9773489479643193,0.07119927726470501,10
helmholtz2d,2,10,10.0,1.0000750686581097,8.53744827569142e-05,10
helmholtz2d,3,10,1.0,1.287781799485655,0.4267390552975555,5
helmholtz2d,3,10,5.0,0.9995738088380224,0.0012554248398311124,5
helmholtz2d,3,10,10.0,1.0000947435061767,9.077220219517726e-05,5
helmholtz2d,4,10,1.0,0.9043761950806081,0.36937921157769826,5
helmholtz2d,4,10,5.0,0.9890539201744947,0.023926357384334893,5
helmholtz2d,4,10,10.0,1.0000873399360644,0.00010321307816893632,5
diffusion_reaction,2,10,1.0,0.7192690568847597,0.3902060522664978,5
diffusion_reaction,2,10,5.0,1.0007239278416769,0.0006131592486031759,5
diffusion_reaction,2,10,10.0,1.000642145951349,0.0006804963543014217,5
diffusion_reaction,3,10,1.0,0.62680879139766,0.36768768501637267,5
diffusion_reaction,3,10,5.0,1.0007194300637643,0.0005988181618055223,5
diffusion_reaction,3,10,10.0,1.0007408096198778,0.0007941238627790655,5
diffusion_reaction,4,10,1.0,0.5719054175568241,0.37116113130514083,5
diffusion_reaction,4,10,5.0,1.0007819262930266,0.000636311692411847,5
diffusion_reaction,4,10,10.0,1.0008216169904445,0.0009364157674464049,5
kovasznay,2,10,1.0,0.3974303922293297,0.21725485562542873,5
kovasznay,2,10,5.0,0.6491678466872404,0.020364005900540216,5
kovasznay,2,10,10.0,0.6503524837818481,0.01921521477021716,5
kovasznay,3,10,1.0,0.3552778504803481,0.21211915077110308,5
kovasznay,3,10,5.0,0.6491775668137422,0.02033685171034628,5
kovasznay,3,10,10.0,0.6503758629220627,0.019251190291839675,5
kovasznay,4,10,1.0,0.34544762010489044,0.20299064208145023,5
kovasznay,4,10,5.0,0.6491831749325917,0.020409487415117188,5
kovasznay,4,10,10.0,0.6503459122796384,0.019262203450459616,5
